ep_num,episode_japan_title,episode_english_title,air_date,arc,rating,votes,type,ep_duration,directors,writers,synopsis
133,Uketsugareru Recipe! Curry no Tetsujin Sanji,"A Recipe Handed Down! Sanji, the Iron Man of Curry!","Nov 17, 2002",Post-Arabasta Arc,6.7,730,Filler,NA,"Eiichirô Oda, Junki Takegami
Bonny Clinkenbeard",NA,"Tajiyo, a young trainee cook in a Marine's ship falls from the ship and wakes up in Straw Hat's ship. Surprised by the quality of Sanji's food, he then goes back to his ship along with Luffy... Read all"
134,Sakasete Misemasu! Otoko Usopp Hasshakudama,I Will Make It Bloom! Usopp the Man and the Eight-Foot Shell!,"Nov 24, 2002",Post-Arabasta Arc,6.7,732,Filler,NA,"Eiichirô Oda, Junki Takegami
Sean Whitley",NA,"Straw Hat's crew arrives on the next island, and it seems that it is day the inhabitants of the island hold their annual fireworks show. Usopp goes to the fireworks factory run by an old man... Read all"
135,Uwasa no Kaizokugari! Sasurai no Kenshi Zoro,"The Fabled Pirate Hunter! Zoro, the Wandering Swordsman!","Dec 1, 2002",Post-Arabasta Arc,6.9,705,Filler,NA,"Eiichirô Oda, Junki Takegami
Sean Whitley",NA,"In his quest to repair his katana, Zoro defeats two brother pirates."
136,Yagi no Shima no Zenny to Yama no Naka no Kaizokusen!,Zenny of the Island of Goats and the Pirate Ship in the Mountains!,"Dec 8, 2002",Goat Island Arc,6.5,726,Filler,NA,"Eiichirô Oda, Yoshiyuki Suga
Junki Takegami",NA,Luffy and his friends escape from the Marines once again and find an unknown island where old pirate Zenny dwells.
137,Moukarimakka? Kanekashi Zenny no Yabou!,How's Tricks? The Designs of Zenny the Moneylender!,"Dec 15, 2002",Goat Island Arc,6.6,717,Filler,NA,"Eiichirô Oda, Yoshiyuki Suga
Spencer Prokop",NA,Zenny reveals his past life while the Marines make their moves to get both Luffy's reward and the moneylender's treasure.
138,Shima no Otakara no Yukue! Zenny Kaizokudan Shutsugeki!,Whereabouts of the Island Treasure! Attack of the Zenny Pirates!,"Dec 22, 2002",Goat Island Arc,6.5,718,Filler,NA,"Eiichirô Oda, Yoshiyuki Suga
Spencer Prokop",NA,The Marines are defeated and Zenny prepares to begin his pirate new life.
139,Niji-iro no Kiri Densetsu! Ruluka Tou no Roujin Henzo,Legend of the Rainbow Mist! Old Man Henzo of the Luluka Island!,"Jan 8, 2003",Ruluka Island Arc,6.8,692,Filler,NA,"Eiichirô Oda, Ryôta Yamaguchi
Junki Takegami",NA,"The gang lands in Ruluka island, where they meet old professor Henzo and his lifetime studies about the Rainbow Mist. Sanji fights the son of current mayor Wetton."
140,Eien no Kuni no Juunin! Pumpkin Kaizokudan!,Residents of the Land of Eternity! The Pumpkin Pirates!,"Jan 12, 2003",Ruluka Island Arc,6.7,694,Filler,NA,"Eiichirô Oda, Ryôta Yamaguchi
Junki Takegami",NA,"Luffy, Zoro, Ussop, Nico and Professor Henzo enter the Rainbow Mist where they find the Pumpkin Pirates. Meanwhile, Nami, Chopper and Sanji find out that the Going Merry is gone and decide t... Read all"
141,Furusato e no Omoi! Dasshutsu Funou no Kaizoku Hakaba!,Thoughts of Home! The Pirate Graveyard of No Escape!,"Jan 19, 2003",Ruluka Island Arc,6.6,681,Filler,NA,"Eiichirô Oda, Ryôta Yamaguchi
Junki Takegami",NA,Henzo makes friends with the pumpkin pirates but Rapanui remains distrustful. Luffy and friends try to find the way out from the Rainbow Mist while Nami sails to help them. Sanji and Chopper... Read all
142,Ransen Hisshi! Wetton no Yabou to Niji no Tou,An Inevitable Melee! Wetton's Schemes and the Rainbow Tower!,"Jan 26, 2003",Ruluka Island Arc,6.6,685,Filler,NA,"Eiichirô Oda, Ryôta Yamaguchi
Junki Takegami",NA,"Whetton has the large tower in the city falls into the Rainbow Mist, creating a bridge that connects both world. He and his men then cross the bridge to take the treasures inside."
143,Soshite Densetsu ga Hajimaru! Iza Niji no Kanata e,"And so, the Legend Begins! To the Other Side of the Rainbow!","Feb 2, 2003",Ruluka Island Arc,7.4,691,Filler,NA,"Eiichirô Oda, Ryôta Yamaguchi
Junki Takegami",NA,The end of Whetton's tax run.
144,Ubawareta Log! Salvage-ou Mashira!,"Caught Log! The King of Salvagers, Masira!","Feb 9, 2003",Jaya Arc,7.2,803,Manga Canon,NA,"Eiichirô Oda, Yoshiyuki Suga
Eric Vale",NA,"In order to find the way to the mythical sky island, Skypiea, the Straw Hat Pirates must explore a sunken ship, working around the King of Salvagers, Masira, as well as the dangerous beasts ... Read all"
145,Kaibutsu Toujou! Shirohige Ichimi ni wa Te o Dasuna,Monsters Appear! Don't Mess With the Whitebeard Pirates!,"Feb 16, 2003",Jaya Arc,7.5,832,Manga Canon,NA,"Eiichirô Oda, Yoshiyuki Suga
Eric Vale",NA,"As if escaping the jaws of a giant sea turtle and dealing with an infuriated Masira weren't enough, the crew also has to contend with monsters that reach up to the sky and blot out the sun! ... Read all"
146,Yume o Miruna! Azakeri no Machi Mock Town!,"Quit Dreaming! Mock Town, the Town of Ridicule!","Feb 23, 2003",Jaya Arc,8,944,Manga Canon,NA,"Eiichirô Oda, Yoshiyuki Suga
Eric Vale",NA,"The Straw Hat Crew arrives to Jaya and Luffy, Zoro and Nami walk into town to find information about the Sky Island, but on the way they meet $55.000.000-reward pirate Bellamy who mocks abou... Read all"
147,Kaizoku no Takami! Yume o Kataru Otoko to Kaitei Tansaku Ou,Distinguished Pirates! A Man Who Talks of Dreams and the King of Undersea Search!,"Mar 9, 2003",Jaya Arc,7.7,857,Manga Canon,NA,"Eiichirô Oda, Yoshiyuki Suga
Eric Vale",NA,"Luffy and Zoro are beaten by Bellamy so they and Nami go back to the ship. Robin finds information about the Sky Island and the crew departs, but they are confronted with pirate Shojo."
148,"Densetsu no Ichizoku! ""Usotsuki Norland""",Legendary Family! Noland the Liar!,"Mar 16, 2003",Jaya Arc,7.6,795,Manga Canon,NA,"Eiichirô Oda, Yoshiyuki Suga
Eric Vale",NA,"Luffy and his friends meet Cricket Montblanc, the great-great-grandchild of Norland the Lier, and he tells them the story about the City of Gold."
149,Kumo Kaji Ippai! Southbird o Oe!,Steer for the Clouds! Capture the South Bird!,"Mar 23, 2003",Jaya Arc,7.4,768,Manga Canon,NA,"Eiichirô Oda, Yoshiyuki Suga
Spencer Prokop",NA,"The crew is ordered by Cricket to find a Southbird, because otherwise they will not be able to orient in the open sea. Bellamy arrives at the diver's house."
150,Yume wa Kanawanai!? Bellamy VS Saruyama Rengou,Dreams Don't Come True?! Bellamy vs. the Saruyama Alliance,"Apr 13, 2003",Jaya Arc,8.1,870,Manga Canon,NA,"Eiichirô Oda, Yoshiyuki Suga
Junki Takegami",NA,Bellamy steals the Sarumaya Alliance gold while the crew is hunting a Southbird. Luffy goes after Bellamy.
151,Ichioku no Otoko! Sekai Saikou Kenryoku to Kaizoku Kurohige,100 Million Man! World's Greatest Power and Pirate Blackbeard,"Apr 20, 2003",Jaya Arc,9.3,3300,Manga Canon,24m,"Eiichirô Oda, Yoshiyuki Suga
Junki Takegami",NA,Luffy defeats Bellamy and recovers Cricket's gold.
152,Fune wa Sora o Yuku! Knock-Up Stream ni Nore,Take to the Sky! Ride the Knock-up Stream!,"Apr 27, 2003",Jaya Arc,8.2,924,Manga Canon,NA,"Eiichirô Oda, Michiru Shimada
Junki Takegami",NA,The Gold Merry is repaired and the crew sails to meet the Knock Up Stream and find the Sky Island. Blackbeard goes after Luffy.
153,Koko wa Sora no Umi! Sora no Kishi to Tengoku no Mon,Sail the White Sea! The Sky Knight and the Gate in the Clouds!,"May 4, 2003",Skypiea Arc,7.7,783,Manga Canon,NA,"Eiichirô Oda, Michiru Shimada
Junki Takegami",NA,"wandering trough the Sea of the Sky, the crew meets Gan Fall, the Knight of the Sky. He saves them from the attack of a treasure hunter. Later, they find the way up to the White White Sea."
154,Kami no Kuni Skypiea! Kumo no Nagisa no Tenshi-tachi,"Godland, Skypiea! Angels on a Beach of Clouds","May 11, 2003",Skypiea Arc,7.4,776,Manga Canon,NA,"Eiichirô Oda, Ryôta Yamaguchi
Eric Vale",NA,"The Straw Hat Crew arrives to Skypiea, where they meet angels Conis and her father Pagaya. Nami gets lost while trying to drive the Waver."
155,Kindan no Seichi! Kami no Sumu Shima to Ten no Sabaki!,The Forbidden Sacred Ground! The Island Where God Lives and Heaven's Judgment!,"May 18, 2003",Skypiea Arc,7.4,760,Manga Canon,NA,"Eiichirô Oda, Michiru Shimada
Eric Vale",NA,Nami meets some mysterious warriors in the Forbidden Island while Pagaya tries to repair the old Waver the crew found in the Lower World. The White Berets go after the pirates for their ille... Read all
156,Hayaku mo Hanzaisha!? Skypiea no Hou no Bannin,Already Criminals?! Skypiea's Upholder of the Law!,"Jun 8, 2003",Skypiea Arc,7.5,753,Manga Canon,NA,"Eiichirô Oda, Yoshiyuki Suga
Eric Vale",NA,The White Berets try to force the crew to pay the fee while Nami is returning from the Forbidden Island. They fight and defeat the Berets and become class 2 criminals.
157,Dasshutsu Naru ka!? Ugokihajimeta Kami no Shiren!,Is Escape Possible?!? God's Challenge Is Set in Motion!,"Jun 15, 2003",Skypiea Arc,7.4,750,Manga Canon,NA,"Eiichirô Oda, Junki Takegami
Eric Vale",NA,"While the crew is preparing to leave Skypeia, Luffy, Ussop and Sanji go back to Pagaya's house seeking food and materials. The ship is trapped by a giant crab, and carried to the Upper Yard."
158,Lovely-doori no Wana! Zennounaru God Enel,A Trap on Lovely Street! The Almighty Eneru!,"Jun 22, 2003",Skypiea Arc,7.6,759,Manga Canon,NA,"Eiichirô Oda, Junki Takegami
Sean Whitley",NA,"Conis reveals her true intentions and Enel unleash his rage. Luffy, Sanji and Usopp sail towards the Upper Yard."
159,Susume Karasumaru! Ikenie no Saidan o Mezase,Onward Crow! To the Sacrificial Altar!,"Jul 6, 2003",Skypiea Arc,7.6,745,Manga Canon,NA,"Eiichirô Oda, Yoshiyuki Suga
Junki Takegami",NA,"Luffy, Sanji and Usopp sail along the Milky Road and face different kinds of traps. The rest of the crew is caught at the Sacrificial Altar, where Chopper repairs the Going Merry while Robin... Read all"
160,Seizonritsu 10%! Mantra-tsukai no Shinkan Satori!,"10% Survival Rate! Satori, the Mantra Master!","Jul 13, 2003",Skypiea Arc,7.6,746,Manga Canon,NA,"Eiichirô Oda, Yoshiyuki Suga
Junki Takegami",NA,"Luffy, Sanji and Usopp meet Priest Satori and his balls. The crow boat is lost and the crew must defeat Satori and find the boat before is too late."
161,"""Tama no Shiren"" no Kyoui! Mayoi no Mori no Shitou",The Ordeal of Spheres! Desperate Struggle in the Lost Forest!,"Jul 20, 2003",Skypiea Arc,7.4,747,Manga Canon,NA,"Eiichirô Oda, Junki Takegami",NA,"Robin finds a trail hidden under the moss, while one of the Sacred Priests visits Chopper at the Altar. The fight against Satori continues."
162,Chopper Ayaushi! Motokami Tai Shinkan Shura,Chopper in Danger! Former God vs. Priest Shura!,"Aug 3, 2003",Skypiea Arc,7.8,747,Manga Canon,NA,"Eiichirô Oda, Junki Takegami
Eric Vale",NA,Gan Fall arrives to rescue Chopper from evil Priest Shura. Robin finds a pit within some ruins. Satori prepares a great surprise for Luffy.
163,Makafushigi! Himo no Shiren to Koi no Shiren!?,Profound Mystery! Ordeal of String and Ordeal of Love?!?,"Aug 10, 2003",Skypiea Arc,7.7,740,Manga Canon,NA,"Eiichirô Oda, Yoshiyuki Suga
Yoshiyaki Suga",NA,"Luffy and Sanji manages to defeat Satori. Meanwhile, Gan Fall is defeated and falls to the water. Even though he knows he can't swim, Chopper jumps into the water to save him."
164,Shandra no Hi o Tomose! Senshi Wiper,Light the Fire of Shandora! Wyper the Warrior!,"Aug 17, 2003",Skypiea Arc,7.8,765,Manga Canon,NA,"Eiichirô Oda, Yoshiyuki Suga
Eric Vale",NA,"Chopper and Gan Fall are saved by the Southbirds, and they tell Chopper that Gan Fall is actually the God of Skypiea. Meanwhile, Nami, Zoro and Robin find out the truth why Upper Yard is a s... Read all"
165,Tenkuu no Ougonkyou Jaya! Mezase Kami no Yashiro!,"Jaya, City of Gold in the Sky! Head for God's Shrine!","Aug 24, 2003",Skypiea Arc,7.6,733,Manga Canon,NA,"Eiichirô Oda, Junki Takegami
Eric Vale",NA,"The Shandians, lead by Wyper, begins to attack the Upper Yard. After knowing the truth about the island and being reunited, Straw Hat crew decide to search for the gold on the island."
166,"Ougon Zen'yasai! ""Vearth"" e no Omoi!","Festival on the Night Before Gold Hunting! Feelings for ""Vearth!""","Sep 7, 2003",Skypiea Arc,7.3,746,Manga Canon,NA,"Eiichirô Oda, Suminori Takegami
Eric Vale",NA,Straw Hat Crew sets a camp at the Upper Yard and discusses the plan for retrieving the gold. Gan Fall who is taken care of by Chopper finally wakes up and tells them all the history of Upper... Read all
167,God Enel Toujou!! Ikinokori e no Aubade,Enter God Eneru! Farewell to the Survivors!,"Sep 21, 2003",Skypiea Arc,7.5,730,Manga Canon,NA,"Eiichirô Oda, Yoshiyuki Suga
Spencer Prokop",NA,"God Enel shows himself in front of his priests, foreseeing the incoming war between Shandia, priests, and pirates from Blue Sea (a.k.a Straw Hat crew) at the Upper Yard."
168,Kibamuku Uwabami! Tsui ni Hajimaru Survival Game,A Giant Snake Bares Its Fangs! The Survival Game Begins!,"Oct 12, 2003",Skypiea Arc,7.4,757,Manga Canon,NA,"Eiichirô Oda, Yoshiyuki Suga
Junki Takegami",NA,"Gan Fall tells the story about the raising of Enel's tyranny, and the vengeance of the Shandian people. Luffy, Zoro, Chopper and Robin escape from a poisonous python."
169,"Sutemi no Haigeki (Reject)! ""Senki"" Wiper no Kakugo",The Deadly Reject! War Demon Wyper's Resolve,"Oct 19, 2003",Skypiea Arc,7.8,794,Manga Canon,NA,"Eiichirô Oda, Junki Takegami",NA,"The Survival Game begins and Shura is the first to fall. The Shandians split and Wiper meets Luffy. Enel sends the 50 Sacred Warriors. Gan Fall teaches Sanji, Nami, Usopp and Chopper about t... Read all"
170,Kuuchuu no Gekisen! Kaizoku Zoro VS Senshi Braham,Fierce Mid-Air Battle! Pirate Zoro vs. Warrior Braham,"Oct 19, 2003",Skypiea Arc,7.9,810,Manga Canon,NA,"Eiichirô Oda, Junki Takegami",NA,"Robin makes it to the ruins and fight against a Sacred Warrior. Zoro faces the lightguns of Braham, while Luffy is still entertained with Wiper. Enel comes into scene."
171,Unaru Burn Bazooka!! Luffy VS Senki Wiper,The Roaring Burn Bazooka!! Pirate Luffy vs. War Demon Wyper!,"Oct 26, 2003",Skypiea Arc,7.6,765,Manga Canon,NA,"Eiichirô Oda, Junki Takegami",NA,Satori's younger brothers appear to fight against Nami and Gan Fall. Luffy is swallowed by the giant python. Chopper meets the Iron Priest.
172,Numa no Shiren! Chopper VS Shinkan Gedatsu!!,The Ordeal of Swamp! Chopper vs. Priest Gedatsu!,"Nov 2, 2003",Skypiea Arc,7.7,765,Manga Canon,NA,"Eiichirô Oda, Junki Takegami",NA,"Luffy is still trapped into the python, while Robin tries to protect the ruins she found from the powerful attacks of Chief Yama. Chopper must face his fears in order to defeat Priest Gedats... Read all"
173,Muteki no Nouryoku! Akasareru Enel no Shoutai,Unbeatable Powers! Eneru's True Form Is Revealed!,"Nov 9, 2003",Skypiea Arc,7.8,780,Manga Canon,NA,"Eiichirô Oda, Junki Takegami",NA,"The Survival Game continues, Gan Fall and Nami defeat Zatori's younger brothers Hotori and Kotori. The former god goes after Enel and Nami is left with his Impact Dial. Conis and Pagaya make... Read all"
174,Maburoshi no Miyako! Yuudai Naru Shandra no Iseki!!,A Mystical City! The Grand Ruins of Shandora!,"Nov 16, 2003",Skypiea Arc,7.9,794,Manga Canon,NA,"Eiichirô Oda, Junki Takegami",NA,Robin defeats Chief Yama and arrives to the city of Shandora. Zoro makes a new friend. Luffy is starving but still inside the python.
175,Seizonritsu 0%!! Chopper VS Shinkan Ohm,"0% Survival Rate! Chopper vs Ohm, the Sword Wielding Priest","Dec 21, 2003",Skypiea Arc,7.7,762,Manga Canon,NA,"Eiichirô Oda, Junki Takegami",NA,"Chopper tries to escape from Priest Ohm. Nami and Aisa gets lost in the forest after the giant python spots the Going Merry. Zoro, Gan Fall and Wiper meet Priest Ohm and prepare for the batt... Read all"
176,Giant Jack o Nobore!! Jouzou Iseki no Shitou,Climb Giant Jack! Deadly Combat in the Upper Ruins!,"Jan 11, 2004",Skypiea Arc,7.9,794,Manga Canon,NA,"Eiichirô Oda, Junki Takegami
Sean Whitley",NA,"Nami and Aisa arrive to the Upper Ruins when escaping from the python, where the fight between Zoro, Gan Fall, Ohm and Wiper continues. Zoro finds Chopper, and goes mad. Gan Fall saves Nami ... Read all"
177,Tetsu no Shiren no Shinkoccyou! Shiruibara Death Match!!,The Ordeal of Iron! White Barbed Death Match!,"Jan 18, 2004",Skypiea Arc,7.8,783,Manga Canon,NA,"Eiichirô Oda, Junki Takegami",NA,"Laki climbs to the Upper Ruins and meets Wiper. Enel appears and attacks her, then leaves. Nami, Gan Fall, Pierre and Aisa meet Luffy. Zoro tries to kill the python bur Ohm interferes."
178,Hotobashiru Zangeki! Zoro VS Shinkan Ohm!!,Bursting Slash! Zoro vs. Ohm!,"Jan 25, 2004",Skypiea Arc,8.3,1100,Manga Canon,NA,"Eiichirô Oda, Junki Takegami",NA,Fight between Zoro and Ohm continues while Luffy and Nami are still inside the python. Enel meets Robin in the Lower Ruins. One of the Gan Fall Guardians scape and makes it to the beach wher... Read all
179,Kuzure Yuku Jousou Iseki! Finale e no Quintet!!,Collapsing Upper Ruins! The Quintet for the Finale!,"Feb 1, 2004",Skypiea Arc,8.1,850,Manga Canon,NA,"Eiichirô Oda, Junki Takegami",NA,"Nami and Gan Fall come out of the python, which is rapidly terminated by Enel. The Survival Game's finale is approaching and there are still six survivors. Luffy and Aisa remain caught."
180,Kodai Iseki no Taiketsu! God Enel no Mokuteki!!,Showdown in the Ancient Ruins! Sky God Eneru's Goal!,"Feb 8, 2004",Skypiea Arc,8.9,2100,Manga Canon,NA,"Eiichirô Oda, Junki Takegami",NA,"Enel reveals his intentions of returning to his birth land, Fairy Vearth. The 6th survivor is defeated and Enel invites the winners to come with him. Robin and Zoro face the strength of the ... Read all"
181,Fairy Vearth e no Yabou Hakobune Maxim!!,Ambition Towards the Endless Vearth! The Ark Maxim!,"Feb 15, 2004",Skypiea Arc,8.1,827,Manga Canon,NA,"Eiichirô Oda, Junki Takegami",NA,"Enel's fierce is unleashed when the survivors try to resist him. Nami goes with Enel to Fairy Vearth so he takes her to the Maxim. Luffy, Aisa and Pierre come out of the python and find the ... Read all"
182,Tsuini Gekitotsu! Kaizoku Luffy VS God Enel!!,They Finally Clash! Pirate Luffy vs. God Eneru!,"Feb 22, 2004",Skypiea Arc,9,2200,Manga Canon,NA,"Eiichirô Oda, Junki Takegami",NA,Conis arrives to Angel Island and prevents the people from Enel's plan. McKinley backs her and together they organize the exodus. Aisa guides Luffy to the cave where Enel and Nami are hidden... Read all
183,Maxim Fujou! Ugoki Hajimeta Deathpiea!!,Maxim Surfaces! Deathpiea Is Activated!,"Feb 29, 2004",Skypiea Arc,9,2100,Manga Canon,NA,"Eiichirô Oda, Junki Takegami
Sean Whitley",NA,Enel prepares his final attack towards Angel Island. The people is gathering into the ships but some citizens decide to go to the shandian village and warn them. Luffy must overcome Enel's a... Read all
184,Luffy Rakka! Kami no Sabaki to Nami no Nozomi!!,Luffy Falls! Eneru's Judgment and Nami's Wish!,"Mar 7, 2004",Skypiea Arc,8,792,Manga Canon,NA,"Eiichirô Oda, Junki Takegami",NA,Luffy is trapped by a giant gold ball and falls from the Maxim ship. The shandians are informed about the danger. Sanji and Usopp leave the Going Merry to save Nami.
185,Mezameta Futari! Moeru Koi no Kyuushutsu Zensen,The Two Awaken! On the Front Lines of the Burning Love Rescue!,"Mar 14, 2004",Skypiea Arc,8.7,1600,Manga Canon,NA,"Eiichirô Oda, Junki Takegami",NA,"Sanji and Usopp prepare a plan to save Nami. Aisa and Pierre find Luffy and try to help him get rid of the golden ball. Meanwhile, in the Angel Island, people is rushing towards Cloud End."
186,Zetsubou e no Capriccio Semaei Kuru Sora Shima no Shoumetsu!!,Capriccio for Despair! The Impending Doom of Sky Island!,"Mar 21, 2004",Skypiea Arc,7.8,749,Manga Canon,NA,"Eiichirô Oda, Junki Takegami",NA,The attack of Deathpeia begins while the Straw Hat Crew is gathering again at the foot of the Giant Jack. Thunders strike Angel Island. Luffy raises once more and runs to stop Enel.
187,Kane no Ne no Michibiki! Daisenshi to Tankenka no Monogatari,Led by a Bell's Sound! Tale of the Great Warrior and the Explorer!,"Mar 28, 2004",Skypiea Arc,7.7,774,Manga Canon,NA,"Eiichirô Oda, Junki Takegami",NA,A flashback from Wyper about the history of Calgara and Norland. How Norland and his crew came to Calgara's village and saved the village from the epidemic.
188,Jubaku kara no Kaihou! Daisenshi ga Nagashita Namida!!,Free From the Spell! The Great Warrior Sheds Tears!,"Mar 28, 2004",Skypiea Arc,7.8,788,Manga Canon,NA,"Eiichirô Oda, Junki Takegami",NA,"Norland and Calgara became best buddies, however, when the time almost came for Norland to go back to his kingdom, suddenly the villagers hate them."
189,Eien no Shinyuu! Oo-unabari ni Hibikuchikai no Kane!!,Eternal Friends! The Vowed Bell Echoes Across the Mighty Seas!,"Apr 7, 2004",Skypiea Arc,9,2200,Manga Canon,NA,"Eiichirô Oda, Junki Takegami",NA,"Not long before Norland sails away, the misunderstanding between them is explained and resolved. Calgara promises Norland that he will keep ringing the bell so that Norland will find his way... Read all"
190,Angel-tou Shoumetsu! Raigou Kourin no Kyoufu!!,"Angel Island, Obliterated! The Horror of the Raigo's Advent!!","Apr 25, 2004",Skypiea Arc,8,773,Manga Canon,NA,"Eiichirô Oda, Junki Takegami",NA,"Wiper finds out from Niko Robin that Montblanc Noland has a descendant that is searching for the City of Gold, and that that is the reason why Luffy wants to ring the Golden Bell."
191,Giant Jack o Taose! Dasshutsu e no Saigo no Nozomi,Knock Over Giant Jack! Last Hope for Escape!,"May 2, 2004",Skypiea Arc,8.1,779,Manga Canon,NA,"Eiichirô Oda, Junki Takegami
Sean Whitley",NA,"Nami comes out with a good plan so that she and Luffy can reach Enel, by knocking down the Giant Jack. Zoro cuts the stalk, but Enel attacks him before he can cuts the stalk once more. Robin... Read all"
192,Kami no Kune no Kiseki! Tenshi no Todoita Love Song,Miracle on Skypiea! The Love Song Heard in the Clouds!,"May 9, 2004",Skypiea Arc,9.2,2500,Manga Canon,24m,"Eiichirô Oda, Junki Takegami",NA,"Luffy manages to ring the golden bell by smashing Enel to it, and the sound of the bell is heard through the Skypea, as well as the land in the Blue Sea."
193,Tatakai no Shuuen! Tooku Hibiku Hokori Takaki Fantasia,The Battle Ends! Proud Fantasia Echoes Far!,"May 23, 2004",Skypiea Arc,8,822,Manga Canon,NA,"Eiichirô Oda, Junki Takegami",NA,"Hearing the sound of the Golden Bell, Montblanc Cricket and Masira brothers realize that all this time the Gold City is up in the sky. Meanwhile, Sky People (both Shandian and Skypiean) move... Read all"
194,Ware Koko ni Itaru! Poneglyphs ga Tsumugu Mono,I Made It Here! The Yarn the Poneglyphs Spin!,"Jun 6, 2004",Skypiea Arc,7.9,764,Manga Canon,NA,"Eiichirô Oda, Junki Takegami
Sean Whitley",NA,Robin notices the way to discover Rio Poneglyph after deciphering the Poneglyph on the Golden Bell. She also notices that Gol D. Roger wrote the Poneglyph and had discovered the Rio Poneglyp... Read all
195,Iza Seikai e!! Omoi ga Orinasu Saishuu Gakushou,Off to the Blue Sea!! A Heartfelt Finale!!,"Jun 13, 2004",Skypiea Arc,7.7,726,Manga Canon,NA,"Eiichirô Oda, Junki Takegami
Sean Whitley",NA,"It's time for Straw Hat crew to continues their journey and goes back to Blue Sea. The Golden Bell rings once again when they leave, as a parting gift and gratitude from Sky People. However,... Read all"
196,Hijoujitai Hatsurei! Akumei Takaki Kaisokusen Sennyuu!,A State of Emergency Is Issued! A Notorious Pirate Ship Has Infiltrated!,"Jun 20, 2004",G-8 Arc,7.1,630,Filler,NA,Eiichirô Oda,NA,"Things get a little messy at G-8 Marine base when a mysterious ship falls from the sky. Recognition ships are sent instantly. Meanwhile, the Straw Hat Crew has split and everyone is trying t... Read all"
197,Ryourinin Sanji! Kaigun Shokudou de Shinka Hakki!,Sanji the Cook! Proving His Merit at the Marine Dining Hall!,"Jul 4, 2004",G-8 Arc,7.3,624,Filler,NA,Eiichirô Oda,NA,Sanji and Luffy are thought to be the famous brother chefs arriving from Mariejois. The cooking competition starts and Sanji show his abilities while Luffy eats as much as he can. Zoro gets ... Read all
198,Torawareru Zoro to Chopper Kinkyuu Shittou,Captured Zoro! Chopper's Emergency Operations!,"Jul 11, 2004",G-8 Arc,7.1,624,Filler,NA,"Eiichirô Oda, Junki Takegami",NA,"Zoro is interrogated by the marines but they do not believe his answers. Chopper helps Dr Kobato with her fear to blood, and together they heal the seriously injured marines."
199,Semaru Kaigun no Sousa mou! Torawareta Futari Me!,The Marine's Dragnet Closes In! The Second Member Captured!,"Jul 18, 2004",G-8 Arc,7.3,641,Filler,NA,Mamoru Hosoda,Eiichirô Oda,Luffy and Sanji are discovered in the kitchen but they manage to escape. Usopp is caught by Drake and taken with Zoro. Robin kidnaps the General Inspector.
200,Kesshi no Luffy to Sanji! Kyuushutsu Dai Sakusen!,Luffy and Sanji's Daring Rescue Mission!,"Aug 8, 2004",G-8 Arc,7.5,627,Filler,NA,Eiichirô Oda,NA,Luffy and Sanji make it to the prison where Usopp and Zoro are caught but they are trapped by the marines. Usopp gives Sanji his Dials in order to destroy the cell.
201,Nekketsu Tokubetsu Butai Sansen! Bridge Koubousen!,Enter the Hot-Blooded Special Forces! Battle on the Bridge!,"Sep 5, 2004",G-8 Arc,7.2,600,Filler,NA,"Eiichirô Oda, Sean Whitley(english version)",NA,"Luffy, Usopp, Sanji and Zoro have to cross a huge bridge in order to get to dock 88. Marines are waiting and the battle begins. Dr Kobato helps Nami and Chopper to meet their friends."
202,Houi Mou Toppa! Dakkan Going Merry Gou,Breaking Through the Siege! The Going Merry Is Recovered!,"Sep 12, 2004",G-8 Arc,7.3,603,Filler,NA,Eiichirô Oda,NA,"Nami and Dr Kobato pretend to be hostages and the crew makes it to the Going Merry, which Kobato's father Mekao has just set free. Robin takes a map of the fortress and meets them later."
203,Kieta Kaizokusen! Yousai Koubou Dai 2 Round,"The Pirate Ship Disappears! Fortress Battle, Round #2!","Sep 19, 2004",G-8 Arc,7,607,Filler,NA,"Eiichirô Oda, Junki Takegami
Sean Whitley(english version)",NA,Luffy breaks the main gate redirecting the marine's bombs but Nami realizes the treasure is gone so the crew goes back into the docks. They hide the Going Merry and prepare for the assault.
204,Ougon Dakkan Sakusen to Waver Kaishuu Sakusen!,The Gold and Waver Recovery Operations!,"Oct 3, 2004",G-8 Arc,7.1,597,Filler,NA,"Eiichirô Oda, Sean Whitley(english version)",NA,"Nami and Sanji go after the Waver and Chopper takes care of the Going Merry. Meanwhile Luffy, Zoro, Usopp and Robin chase the treasure, but Vice Admiral Jonathan is expecting them."
205,Ichimoudajin Keikaku! Jonathan Jishin no Hisaku,The One Fell Swoop Plan! Jonathan's Surefire Secret Tactic!,"Oct 3, 2004",G-8 Arc,7.2,601,Filler,NA,"Eiichirô Oda, Eric Vale
Sean Whitley",NA,"The gold team opens the vault just to discover it's empty. The Waver team recovers the vehicle and meets Chopper at the dock. Luffy and Nami go to Jonathan's office to recover the gold, and ... Read all"
